"id","listing_url","name","host_id","street","property_type","room_type","accommodates","bedrooms","beds","amenities","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","cancellation_policy"
"10004575","https://www.airbnb.com/rooms/10004575","Pondside Spacious Condo","3130698","Pershing Road, Boston, MA 02130, United States","Apartment","Entire home/apt","6","3","5","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","9","97","10","10","10","10","9","10","f","strict"
"10009367","https://www.airbnb.com/rooms/10009367","Classy Apartment in Oak Sq. Boston","13004639","Tremont Street, Boston, MA 02135, United States","Apartment","Entire home/apt","2","2","1","{""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Breakfast,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",""Laptop Friendly Workspace""}","0","","","","","","","","f","strict"
"10021398","https://www.airbnb.com/rooms/10021398","Charming room in Boston, MA","20327499","Barrows Street, Boston, MA 02134, United States","Apartment","Private room","2","1","1","{""Wireless Internet"",Kitchen,""Pets live on this property"",Heating,""Carbon Monoxide Detector"",Shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}","22","93","10","10","10","9","9","9","f","flexible"
"10032327","https://www.airbnb.com/rooms/10032327","Cozy Apartment in a Great Location","45004988","Brainerd Road, Boston, MA 02134, United States","Apartment","Entire home/apt","4","1","2","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Doorman,Gym,""Elevator in Building"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}","20","99","10","10","10","10","10","10","f","strict"
"10033322","https://www.airbnb.com/rooms/10033322","Boston Lux 1BR Apt + Yoga Studio","30283594","Kneeland Street, Boston, MA 02111, United States","Apartment","Entire home/apt","3","1","1","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""translation missing: en.hosting_amenity_50""}","0","","","","","","","","f","strict"
"10033710","https://www.airbnb.com/rooms/10033710","Boston Lux 1BR-Apt + Yoga Studio","30283594","Kneeland Street, Boston, MA 02111, United States","Apartment","Entire home/apt","3","1","1","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Iron}","0","","","","","","","","f","strict"
"10033715","https://www.airbnb.com/rooms/10033715","New Luxury 2BR Apartment at Fenway","30283594","Boylston Street, Boston, MA 02215, United States","Apartment","Entire home/apt","5","2","2","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}","1","100","10","10","10","10","10","10","f","strict"
"10034113","https://www.airbnb.com/rooms/10034113","Boston Lux 2BR Apt + Yoga Studio","30283594","Kneeland Street, Boston, MA 02111, United States","Apartment","Entire home/apt","5","2","2","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Iron}","0","","","","","","","","f","strict"
"10034183","https://www.airbnb.com/rooms/10034183","Large 1br/2bath, right by the water","31310602","Springer Street, Boston, MA 02127, United States","Apartment","Entire home/apt","2","1","1","{""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","5","100","9","10","10","10","10","10","f","flexible"
"10034592","https://www.airbnb.com/rooms/10034592","1BR/ 1BA in 2BR/2BA w/ ocean view","20399668","South Point Drive, Boston, MA 02125, United States","Apartment","Private room","2","1","1","{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,""24-Hour Check-in"",Hangers,Iron,""Laptop Friendly Workspace""}","14","96","10","9","10","10","10","10","f","strict"
